V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Logo,Intro,Name_1_TEXT,Name_2_TEXT,Name_3_TEXT,Name_4_TEXT,Grade,Grade_TEXT,Q1,intro Q2,picture,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q33,LocationLatitude,LocationLongitude,LocationAccuracy
R_esrzSbbJgBx1UDb,Default Response Set,Anonymous,,,169.244.43.152,0,9/11/14 9:39,9/11/14 9:54,1,1,1,69,69,LL,,,,0,1,1,0,2,4,5,3,4,4,2,1,2,4,5,5,5,5,1,2,1,2,4,5,4,4,2,,44.78070068,-68.73509979,-1
R_aaTry9Y8L4XZtMF,Default Response Set,Anonymous,,,169.244.43.155,0,9/11/14 9:32,9/11/14 9:58,1,1,1,70,70,LL,,,,0,1,1,0,2,5,1,3,4,1,3,1,5,2,5,5,2,5,3,2,1,2,4,5,1,1,4,,44.78070068,-68.73509979,-1
R_bC4gndFl63FnpTn,Default Response Set,Anonymous,,,169.244.43.157,0,9/11/14 9:30,9/11/14 10:00,1,1,1,71,71,LL,,,,0,1,1,1,2,5,3,1,5,5,2,1,2,4,5,5,2,3,2,2,1,5,5,2,4,4,4,,44.78070068,-68.73509979,-1
R_bK722sLwkHw4rdP,Default Response Set,Anonymous,,,169.244.43.151,0,9/11/14 10:55,9/11/14 11:07,1,1,1,72,72,LL,,,,0,1,1,0,5,4,1,3,5,4,2,1,4,4,3,5,5,5,2,1,1,5,4,5,1,4,2,,44.78070068,-68.73509979,-1
R_bp99FnhDTy3cXat,Default Response Set,Anonymous,,,169.244.43.149,0,9/11/14 10:57,9/11/14 11:07,1,1,1,73,73,LL,,,,1,1,1,0,2,5,1,5,4,5,2,1,4,4,5,3,2,2,4,2,1,2,1,5,1,5,2,,44.78070068,-68.73509979,-1
R_1HwS7WCxTKigTCl,Default Response Set,Anonymous,,,169.244.43.149,0,9/11/14 10:57,9/11/14 11:08,1,1,1,74,74,LL,,,,1,1,1,0,2,4,5,4,5,4,2,1,4,4,3,2,3,5,1,1,1,2,4,3,1,5,1,,44.78070068,-68.73509979,-1
R_aXdxItgFeUTFwnb,Default Response Set,Anonymous,,,169.244.43.156,0,9/11/14 11:02,9/11/14 11:10,1,1,1,75,75,W,H,3,,1,1,1,0,2,4,1,4,4,1,2,1,4,3,1,2,3,2,1,5,3,2,4,5,3,3,3,,44.78070068,-68.73509979,-1
R_4HeDPVJlQZI9X01,Default Response Set,Anonymous,,,169.244.43.152,0,9/11/14 11:05,9/11/14 11:12,1,1,1,76,76,W,W,3,,1,1,1,0,1,5,,4,4,4,2,1,4,4,,,2,5,2,1,1,2,4,5,1,3,2,,44.78070068,-68.73509979,-1
R_77YNXPO9xt0mXop,Default Response Set,Anonymous,,,169.244.43.148,0,9/11/14 11:04,9/11/14 11:38,1,1,1,77,77,W,H,3,,1,1,1,0,1,5,4,4,5,1,2,1,4,4,2,4,5,4,2,5,3,2,1,4,4,1,4,,44.78070068,-68.73509979,-1
R_0UMEFogmzWU1V1H,Default Response Set,Anonymous,,,169.244.43.169,0,9/11/14 11:03,9/11/14 11:38,1,1,1,78,78,W,H,3,,1,1,1,0,1,2,5,3,1,1,2,4,4,4,1,2,2,3,5,4,1,2,4,1,4,1,1,,44.78070068,-68.73509979,-1
R_6fWzwstJKVgZKDz,Default Response Set,Anonymous,,,169.244.43.157,0,9/11/14 11:03,9/11/14 11:39,1,1,1,79,79,W,H,3,,1,1,1,0,4,4,4,4,1,1,2,1,2,4,5,4,3,1,1,5,3,5,5,1,1,5,2,,44.78070068,-68.73509979,-1
R_8Iy2Dlc22H42Llz,Default Response Set,Anonymous,,,169.244.43.175,0,9/11/14 11:07,9/11/14 11:39,1,1,1,80,80,W,H,3,,0,1,1,0,1,4,1,4,4,1,2,4,2,2,1,2,4,1,3,2,1,2,4,2,1,1,5,,44.78070068,-68.73509979,-1
R_9sFAPS4NAViDbo1,Default Response Set,Anonymous,,,169.244.43.147,0,9/11/14 11:04,9/11/14 11:40,1,1,1,81,81,W,H,3,,0,1,1,1,1,4,1,2,4,3,3,1,2,4,1,2,1,5,3,5,4,2,2,5,1,4,4,,44.78070068,-68.73509979,-1
R_9pEjnxt0mDNCXfT,Default Response Set,Anonymous,,,169.244.43.173,0,9/11/14 11:04,9/11/14 11:42,1,1,1,82,82,W,H,3,,0,1,1,0,2,5,4,3,4,3,3,5,2,4,1,2,1,5,2,2,1,5,2,5,5,4,4,,44.78070068,-68.73509979,-1
R_egR3fxaT0bs18Cp,Default Response Set,Anonymous,,,169.244.43.153,0,9/11/14 11:11,9/11/14 11:46,1,1,1,83,83,W,H,3,,0,1,1,0,2,1,1,4,,5,2,1,5,3,1,2,2,5,2,5,1,2,4,3,4,1,1,,44.78070068,-68.73509979,-1
R_e9iowSDL3zoFZpH,Default Response Set,Anonymous,,,169.244.43.65,0,9/11/14 11:11,9/11/14 11:47,1,1,1,84,84,W,RSU,3,,0,1,1,0,5,1,5,2,4,1,2,1,5,2,5,2,4,3,2,2,3,2,2,5,2,1,1,,44.78070068,-68.73509979,-1
R_6JM4FkthLTFf0Al,Default Response Set,Anonymous,,,169.244.43.154,0,9/11/14 11:11,9/11/14 11:50,1,1,1,85,85,W,H,3,,0,1,1,1,2,1,5,4,4,1,3,2,4,3,3,4,1,4,3,1,4,5,1,3,1,1,3,,44.78070068,-68.73509979,-1
R_5pZQ8GfNlRcYPLn,Default Response Set,Anonymous,,,169.244.43.150,0,9/11/14 11:34,9/11/14 11:56,1,1,1,86,86,W,H,3,,1,1,1,0,1,1,1,4,5,4,3,1,2,4,3,3,2,3,5,4,3,2,4,5,4,1,1,,44.78070068,-68.73509979,-1
R_enAiPp43gyEuQjb,Default Response Set,Anonymous,,,169.244.21.104,0,9/11/14 13:48,9/11/14 14:15,1,1,1,87,87,W,H,3,,0,1,1,0,1,1,5,4,4,4,5,5,4,4,5,4,,5,2,4,1,5,5,5,1,5,5,,43.54159546,-70.46869659,-1
R_9X0WVtT3hFKEI1n,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:33,9/12/14 8:40,1,1,1,88,88,W,H,3,,1,1,1,0,5,5,1,3,5,3,5,4,4,4,5,5,2,5,3,5,4,2,4,1,1,1,3,,44.86349487,-68.84020233,-1
R_bx8m7bMStGGy0jr,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:37,9/12/14 8:46,1,1,1,89,89,W,H,3,,1,1,1,0,2,5,1,3,5,5,3,2,5,4,2,5,4,3,2,5,2,2,,4,,4,3,,44.86349487,-68.84020233,-1
R_5733iZinhGSTQGx,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:36,9/12/14 8:47,1,1,1,90,90,W,H,3,,0,1,1,0,2,,1,4,4,1,5,1,5,3,1,4,3,4,2,4,4,2,2,3,4,1,2,,44.86349487,-68.84020233,-1
R_8ri3sufiRL9cCl7,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:37,9/12/14 8:47,1,1,1,91,91,W,H,3,,0,1,1,0,2,1,1,2,2,5,2,1,4,3,3,4,2,2,2,2,4,5,3,3,4,1,1,,44.86349487,-68.84020233,-1
R_8Huj3YhaFvxSaqh,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:43,9/12/14 8:49,1,1,1,92,92,W,H,3,,1,1,1,0,2,2,1,3,4,1,2,1,2,4,3,5,4,,2,5,4,2,4,5,1,4,2,,44.86349487,-68.84020233,-1
R_cvxuSkYMrxjUxvL,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:38,9/12/14 8:52,1,1,1,93,93,W,H,3,,0,1,1,0,2,5,1,4,4,2,3,1,4,4,5,2,2,5,1,3,1,2,5,5,2,4,3,,44.86349487,-68.84020233,-1
R_a47kZJOgVljLG9n,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:42,9/12/14 8:52,1,1,1,94,94,W,H,3,,1,1,1,0,2,5,1,5,1,1,2,1,2,3,1,2,2,3,3,1,2,2,2,3,1,3,2,,44.86349487,-68.84020233,-1
R_7QlhisU1GCDhjEx,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:38,9/12/14 8:53,1,1,1,95,95,W,H,3,,0,1,1,0,2,5,1,4,4,3,4,1,4,4,3,5,3,5,3,1,3,2,4,5,4,4,3,,44.86349487,-68.84020233,-1
R_eEAWYog5pXDPY8J,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:42,9/12/14 8:53,1,1,1,96,96,W,H,3,,1,1,1,0,1,4,5,4,4,1,2,1,4,4,3,5,2,5,2,1,1,2,2,5,1,5,1,,44.86349487,-68.84020233,-1
R_aaZKuLnXaXtTYj3,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:39,9/12/14 8:54,1,1,1,97,97,W,H,3,,1,1,1,0,2,1,1,3,4,,3,2,2,4,3,1,2,4,1,3,4,2,5,5,4,2,4,,44.86349487,-68.84020233,-1
R_3EgEh76DqW2iIu1,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:40,9/12/14 8:55,1,1,1,98,98,W,H,3,,0,1,1,0,2,5,5,3,5,1,5,5,4,4,5,3,2,3,4,2,5,5,4,5,5,5,3,,44.86349487,-68.84020233,-1
R_9uC2GYG9FtySRbT,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:44,9/12/14 8:59,1,1,1,99,99,W,H,3,,1,1,1,0,1,5,1,3,2,1,3,1,2,4,3,4,2,5,3,2,1,2,5,5,1,1,4,,44.86349487,-68.84020233,-1
R_bBqUHMADocfox2l,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 8:43,9/12/14 9:02,1,1,1,100,100,W,H,3,,0,1,1,0,2,2,1,3,4,1,2,2,4,4,1,2,5,1,2,5,4,2,5,4,1,1,4,,44.86349487,-68.84020233,-1
R_cYBtO5qFtzHYJql,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:42,9/12/14 11:52,1,1,1,101,101,W,H,3,,1,1,1,0,2,2,1,4,4,4,2,1,2,4,5,2,5,2,5,2,2,2,2,2,1,1,4,,44.86349487,-68.84020233,-1
R_daL1IEMorP346Il,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:44,9/12/14 11:56,1,1,1,102,102,W,H,3,,0,1,1,0,2,5,5,2,4,3,2,5,2,4,3,2,4,3,3,3,1,2,2,3,1,5,2,,44.86349487,-68.84020233,-1
R_9QPwPZ1ytgF3flX,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:45,9/12/14 11:58,1,1,1,103,103,W,H,3,,0,1,1,0,2,1,1,4,4,1,2,1,2,4,5,2,3,5,1,5,1,2,4,3,4,3,3,,44.86349487,-68.84020233,-1
R_egiJPduSRci9S7z,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:44,9/12/14 11:58,1,1,1,104,104,W,W,3,,0,1,1,0,1,1,1,1,4,1,2,5,4,3,5,2,5,3,1,1,4,3,4,2,4,2,1,,44.86349487,-68.84020233,-1
R_86a473FWdi3cRYp,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:49,9/12/14 12:01,1,1,1,105,105,W,J,3,,1,1,1,0,1,2,1,3,4,4,3,5,1,3,1,2,5,5,3,5,3,2,5,4,1,4,2,,44.86349487,-68.84020233,-1
R_38ePrkVDkMdBPOR,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:44,9/12/14 12:02,1,1,1,106,106,W,H,3,,0,1,1,0,1,5,1,4,4,4,3,1,4,4,5,2,2,5,1,3,3,5,4,5,1,5,3,,44.86349487,-68.84020233,-1
R_d6G6K4ZXx0e50Et,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:49,9/12/14 12:03,1,1,1,107,107,W,H,3,,1,1,1,0,1,5,1,4,4,4,2,4,4,3,3,2,2,5,3,4,1,2,1,3,1,5,2,,44.86349487,-68.84020233,-1
R_cwHjeCZbktAHMUJ,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:47,9/12/14 12:04,1,1,1,108,108,W,H,3,,1,1,1,0,1,1,4,3,4,2,3,4,4,4,5,5,4,5,1,5,1,2,4,5,1,4,2,,44.86349487,-68.84020233,-1
R_0AkFK3Q9EMwOyZ7,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:52,9/12/14 12:05,1,1,1,109,109,W,H,3,,1,1,1,0,2,5,1,1,5,1,2,4,2,3,1,2,4,3,2,1,4,4,2,5,4,1,4,,44.86349487,-68.84020233,-1
R_6Rv2mmLjlNc7DTL,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:47,9/12/14 12:05,1,1,1,110,110,W,H,3,,0,1,1,0,2,1,5,3,4,4,2,1,2,4,3,2,2,2,2,1,1,2,4,5,4,3,1,,44.86349487,-68.84020233,-1
R_eRucF8iIVh67hQx,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:50,9/12/14 12:06,1,1,1,111,111,W,W,3,,0,1,1,0,2,1,1,3,1,5,2,1,2,3,1,2,2,5,2,4,1,2,4,5,1,5,4,,44.86349487,-68.84020233,-1
R_8B5p7c4MjiGYZp3,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:51,9/12/14 12:13,1,1,1,112,112,W,H,3,,0,1,1,0,1,3,5,3,4,4,3,1,2,3,3,2,2,5,2,5,3,2,4,2,4,4,2,,44.86349487,-68.84020233,-1
R_3n3KkOEgfOy0gTj,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:51,9/12/14 12:13,1,1,1,113,113,W,H,3,,0,1,1,0,2,1,5,3,4,1,3,4,2,4,5,2,2,1,1,1,1,2,5,3,4,4,4,,44.86349487,-68.84020233,-1
R_6DXj1xJljRcaHY1,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 11:50,9/12/14 12:14,1,1,1,114,114,W,H,3,,0,1,1,0,1,1,5,2,5,5,3,2,4,3,5,2,2,2,1,1,4,2,4,3,3,5,4,,44.86349487,-68.84020233,-1
R_24h55CojHS2CDOt,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 12:11,9/12/14 12:20,1,1,1,115,115,W,H,3,,1,1,1,0,2,4,1,4,4,1,2,1,4,4,3,5,2,5,2,5,1,2,2,5,1,3,3,,44.86349487,-68.84020233,-1
R_etTQlsjRQo6oOP3,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 12:12,9/12/14 12:20,1,1,1,116,116,W,H,3,,1,1,1,0,2,2,1,4,5,4,3,1,2,4,1,4,2,3,3,4,5,5,4,1,1,4,3,,44.86349487,-68.84020233,-1
R_1I9QQXULoZ4AA9p,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:12,9/12/14 13:13,1,1,1,117,117,W,H,3,,0,1,1,0,2,5,,3,5,1,2,3,1,3,2,2,5,4,2,4,3,2,2,3,3,3,4,,44.72619629,-68.59950256,-1
R_PuJKX0tcpUfB8tj,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:11,9/12/14 13:19,1,1,1,118,118,W,H,3,,0,1,1,0,4,3,1,3,4,1,3,1,2,3,3,2,2,2,1,3,4,5,3,1,1,1,1,,44.72619629,-68.59950256,-1
R_11ZLnzoI6riooPx,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:11,9/12/14 13:19,1,1,1,119,119,W,H,3,,0,1,1,0,2,4,1,1,4,2,2,1,1,2,5,5,3,2,2,5,3,4,3,2,4,1,1,,44.72619629,-68.59950256,-1
R_1gTpGsJbbtec7Ik,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:11,9/12/14 13:20,1,1,1,120,120,W,H,3,,0,1,1,1,2,5,1,3,4,1,3,5,4,4,3,4,4,5,2,1,1,2,4,3,1,4,4,,44.72619629,-68.59950256,-1
R_xhYaCTynAemUFC9,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:13,9/12/14 13:22,1,1,1,121,121,W,H,3,,1,1,1,0,1,1,1,3,4,4,2,2,4,4,5,5,4,2,2,3,3,5,5,3,1,3,4,,44.72619629,-68.59950256,-1
R_Ah5LihKo7UEU3vP,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:14,9/12/14 13:22,1,1,1,122,122,W,H,3,,1,1,1,0,2,3,1,3,4,5,2,5,2,4,1,2,2,5,4,1,3,1,2,5,1,1,3,,44.72619629,-68.59950256,-1
R_2zewBvgizjoKwaF,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:12,9/12/14 13:23,1,1,1,123,123,W,H,3,,0,1,1,0,2,1,1,5,4,4,5,2,,,,,,,,,,,,,,,,,44.72619629,-68.59950256,-1
R_1dAZusQHshxWJJ9,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:13,9/12/14 13:24,1,1,1,124,124,W,H,3,,0,1,1,0,2,5,4,4,4,2,2,1,2,4,5,2,4,5,4,3,1,5,5,3,4,1,2,,44.72619629,-68.59950256,-1
R_3NLg9A1iHDbeJ77,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:12,9/12/14 13:25,1,1,1,125,125,W,H,3,,0,1,1,0,1,1,4,3,4,4,3,1,2,4,5,2,1,2,2,5,1,2,4,2,4,1,2,,44.72619629,-68.59950256,-1
R_8puDggf4G9rdABj,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:15,9/12/14 13:27,1,1,1,126,126,W,H,3,,0,1,1,0,2,1,1,3,4,4,5,1,2,3,1,2,2,5,5,4,1,2,3,3,4,2,3,,44.72619629,-68.59950256,-1
R_2aqNY3PcwrbwONY,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:13,9/12/14 13:27,1,1,1,127,127,W,H,3,,0,1,1,0,2,5,3,4,5,1,3,1,2,4,4,2,1,2,5,3,3,2,4,5,,1,3,,44.72619629,-68.59950256,-1
R_2OGvbedKKOTApCa,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:13,9/12/14 13:27,1,1,1,128,128,W,H,3,,0,1,1,0,2,2,1,4,4,1,3,5,2,4,5,4,2,2,4,1,1,5,4,2,1,3,2,,44.72619629,-68.59950256,-1
R_23fblbFixUJDhLE,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:14,9/12/14 13:28,1,1,1,129,129,W,H,3,,0,1,1,0,2,1,1,5,4,1,2,1,5,4,2,5,5,1,5,2,2,5,2,5,1,3,2,,44.72619629,-68.59950256,-1
R_3DjfZA7E75hmkri,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:21,9/12/14 13:28,1,1,1,130,130,W,H,3,,0,1,1,0,4,4,5,3,5,1,3,3,3,4,1,4,1,3,4,2,4,2,4,2,1,4,2,,44.86349487,-68.84020233,-1
R_1qgKPtAHGpKZ6jI,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:13,9/12/14 13:28,1,1,1,131,131,W,H,3,,0,1,1,0,4,4,2,5,5,5,2,4,5,4,1,4,5,3,4,3,5,5,5,5,4,5,2,,44.72619629,-68.59950256,-1
R_1QGYAa8EqfmjHL6,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:17,9/12/14 13:29,1,1,1,132,132,W,H,3,,0,1,1,0,2,5,5,3,1,1,4,1,4,3,5,2,3,2,2,5,1,5,4,4,4,1,3,,44.72619629,-68.59950256,-1
R_YWk9DnTwOOyHpfP,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:12,9/12/14 13:31,1,1,1,133,133,W,H,3,,1,1,1,0,2,2,1,2,1,4,2,1,2,2,1,2,1,3,2,5,3,2,2,3,3,2,2,,44.72619629,-68.59950256,-1
R_2PdG3p0PRCxxRnD,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:22,9/12/14 13:31,1,1,1,134,134,W,H,3,,0,1,1,1,3,5,5,2,2,4,2,3,5,4,1,5,2,2,4,5,1,2,5,5,4,2,4,,44.86349487,-68.84020233,-1
R_cANNNjYTwo4Vu3n,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:20,9/12/14 13:31,1,1,1,135,135,W,H,3,,0,1,1,0,2,3,1,2,2,2,3,1,2,3,1,2,2,3,5,2,4,2,1,3,2,3,1,,44.86349487,-68.84020233,-1
R_5oRYfshxMYAmJwZ,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:16,9/12/14 13:32,1,1,1,136,136,W,H,3,,0,1,1,0,2,5,3,1,3,5,4,3,2,1,5,2,1,4,2,5,3,1,1,3,1,4,4,,44.72619629,-68.59950256,-1
R_1n7a6EWFzpY3j0m,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:23,9/12/14 13:33,1,1,1,137,137,W,H,3,,0,1,1,0,2,1,5,1,5,1,2,5,5,4,1,5,2,5,1,5,4,5,4,2,3,4,3,,44.86349487,-68.84020233,-1
R_3dNgNUu4pazoYxu,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:23,9/12/14 13:33,1,1,1,138,138,W,H,3,,0,1,1,0,2,5,1,3,4,1,3,4,3,3,2,5,3,4,3,4,4,5,1,3,1,1,4,,44.86349487,-68.84020233,-1
R_rqGOUqNn3mI4AmZ,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:21,9/12/14 13:34,1,1,1,139,139,W,H,3,,0,1,1,0,2,1,5,4,4,1,2,1,1,4,5,2,4,5,2,4,3,5,4,1,1,3,2,,44.86349487,-68.84020233,-1
R_Z7Ylo326UZSqPXX,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:22,9/12/14 13:34,1,1,1,140,140,W,H,3,,0,1,1,0,2,5,1,3,1,1,2,1,2,4,5,5,5,5,5,5,2,2,2,2,1,3,2,,44.86349487,-68.84020233,-1
R_xAaZEouIyV51RMB,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:24,9/12/14 13:34,1,1,1,141,141,W,H,3,,0,1,1,0,2,1,1,5,2,2,3,2,3,4,1,4,2,4,1,3,4,2,4,3,1,1,2,,44.86349487,-68.84020233,-1
R_2fvUFP8bhY7OJbE,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:23,9/12/14 13:35,1,1,1,142,142,W,H,3,,0,1,1,0,2,5,1,2,1,4,3,5,4,5,1,4,4,2,3,2,3,2,4,5,1,1,1,,44.86349487,-68.84020233,-1
R_2whvCXKOVoK5hFx,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:18,9/12/14 13:35,1,1,1,143,143,W,H,3,,1,1,1,0,2,4,5,3,2,1,2,3,5,3,5,5,2,2,2,4,1,5,2,2,4,1,2,,44.72619629,-68.59950256,-1
R_1MXN9oeTUUdlSDU,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:22,9/12/14 13:35,1,1,1,144,144,W,H,3,,0,1,1,0,2,5,1,3,4,1,3,1,2,3,5,2,4,3,2,3,1,5,5,5,4,5,4,,44.86349487,-68.84020233,-1
R_4ToVxQgXzlW9bgZ,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:23,9/12/14 13:35,1,1,1,145,145,W,W,3,,0,1,1,0,1,2,1,1,4,4,3,1,1,3,3,2,2,5,2,5,4,2,4,2,1,1,1,,44.86349487,-68.84020233,-1
R_2SeoxXA973U9o30,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:24,9/12/14 13:36,1,1,1,146,146,W,H,3,,0,1,1,0,5,4,5,3,4,4,3,1,2,1,3,5,2,5,4,5,3,2,4,3,1,4,1,,44.86349487,-68.84020233,-1
R_daSo6AFOjFQHrON,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:24,9/12/14 13:37,1,1,1,147,147,W,H,3,,0,1,1,0,5,5,5,3,2,4,3,4,4,1,5,5,2,1,4,4,2,2,4,1,5,4,4,,44.86349487,-68.84020233,-1
R_2xP38EqGxocPLvo,Default Response Set,Anonymous,,,65.18.42.15,0,9/12/14 13:23,9/12/14 13:38,1,1,1,148,148,W,H,3,,1,1,1,0,2,1,5,5,1,1,3,1,2,2,1,2,3,4,2,2,3,2,3,3,3,2,3,,44.86349487,-68.84020233,-1
R_UupZVEKgnNjL7jP,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:11,9/12/14 13:38,1,1,1,149,149,W,H,3,,0,1,1,1,2,5,5,3,5,5,2,1,2,4,4,4,2,5,2,2,1,2,4,4,1,4,2,,44.72619629,-68.59950256,-1
R_3dLWPA4E4htpeVa,Default Response Set,Anonymous,,,169.244.112.3,0,9/12/14 13:11,9/12/14 13:38,1,1,1,150,150,W,H,3,,0,1,1,0,5,5,1,3,2,4,2,1,4,4,4,5,2,2,4,4,3,2,5,5,3,4,3,,44.72619629,-68.59950256,-1
